"","Bediensteten","Cinestar","City Port","Kronberger Hof","Leitrechner","Loehrstrasse","Rathaus","Rheinufergarage","Roemisches Theater","Schillerplatz","Taubertsberg","TG Augustusplatz","Uniklinikum","Wallstrasse","Zollhafen","Gesamtergebnis"
"20:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"20:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"21:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"21:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"21:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"21:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"22:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"22:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"22:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"22:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"23:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"23:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"23:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"23:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"04.01.2017","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"00:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"00:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"00:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"00:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"01:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"01:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"01:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"01:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"02:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"02:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"02:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"02:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"03:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"03:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"03:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"03:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"04:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"04:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"04:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"04:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"05:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"05:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"05:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"05:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"06:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"06:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"06:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"06:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"07:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"07:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"07:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"07:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"08:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
